Feature_Index,Feature_Name,Importance
14,Vlr Diferencia Act Ant,0.4682303814593681
17,MOVIMIENTO_RENTA,0.3102625781037363
12,SIN TARIFA,0.08677792859685254
11,RENTA_MES_ANTERIOR,0.0330311058456231
4,Msh Fecha (copia),0.022840958791011244
1,MESES_ANTIGUEDAD,0.02012625110988547
10,RENTA_MES_ACTUAL,0.01730456985457701
2,MESES_ANTIGUEDAD_INSTALACION,0.010932844995399744
3,Msh Cuenta,0.010814045718490024
19,Msh Ser Activos,0.0024015282946112317
9,MSH_TIPO_CLIENTE,0.002109367730579434
6,Msh Hora (copia),0.0019461859974711383
5,Msh Hora,0.0019401540406299008
8,MSH_LOGIN_ID,0.001688592684871128
7,MSH_CEDULA,0.001500044417439185
